Lambda	tu-berlin00004	tu-berlin00005	tu-berlin00006
499.0	0.066866	0.362442	0.325979
500.0	0.064177	0.359018	0.324626
501.0	0.051367	0.347087	0.311278
502.0	0.054318	0.340794	0.315683
503.0	0.058409	0.335084	0.321845
504.0	0.061981	0.329775	0.328538
505.0	0.063980	0.327754	0.339296
506.0	0.065069	0.327394	0.352001
507.0	0.053013	0.316355	0.346129
508.0	0.045437	0.306677	0.341127
509.0	0.045415	0.299033	0.337442
510.0	0.044653	0.292256	0.338832
511.0	0.043343	0.285643	0.341576
512.0	0.039456	0.276565	0.340215
513.0	0.032601	0.266438	0.340859
514.0	0.022441	0.255081	0.343694
515.0	0.025013	0.256281	0.351068
516.0	0.029133	0.256163	0.357499
517.0	0.030427	0.241746	0.358309
518.0	0.036963	0.237493	0.361122
519.0	0.047352	0.240792	0.365438
520.0	0.027696	0.224331	0.356658
521.0	0.020369	0.213197	0.354036
522.0	0.044073	0.216557	0.366557
523.0	0.041687	0.210920	0.369507
524.0	0.028188	0.201299	0.368455
525.0	0.032107	0.194472	0.375401
526.0	0.033062	0.187561	0.378585
527.0	0.029905	0.180415	0.376619
528.0	0.046518	0.184098	0.376069
529.0	0.063009	0.188089	0.376619
530.0	0.049728	0.177044	0.381041
531.0	0.040709	0.167015	0.381494
532.0	0.035780	0.158028	0.378228
533.0	0.033781	0.154025	0.385388
534.0	0.033723	0.152402	0.392613
535.0	0.038066	0.155717	0.396737
536.0	0.040080	0.148843	0.396134
537.0	0.040773	0.135971	0.392795
538.0	0.041470	0.124644	0.387267
539.0	0.042585	0.117831	0.386455
540.0	0.044375	0.118849	0.393585
541.0	0.039470	0.121867	0.398559
542.0	0.033615	0.123091	0.402140
543.0	0.036866	0.106965	0.401163
544.0	0.039392	0.099143	0.398501
545.0	0.041173	0.099818	0.394203
546.0	0.044914	0.102160	0.401573
547.0	0.048998	0.102620	0.407516
548.0	0.053291	0.096524	0.403969
549.0	0.058490	0.092339	0.404665
550.0	0.064165	0.089375	0.407927
551.0	0.061095	0.076455	0.401681
552.0	0.065735	0.071431	0.398018
553.0	0.083507	0.080166	0.398974
554.0	0.088324	0.079382	0.403176
555.0	0.089116	0.074921	0.407024
556.0	0.093237	0.067451	0.399295
557.0	0.104647	0.061894	0.394927
558.0	0.123345	0.058395	0.394152
559.0	0.128266	0.057762	0.387663
560.0	0.135361	0.057276	0.385799
561.0	0.156092	0.055813	0.401272
562.0	0.176920	0.060190	0.404545
563.0	0.197205	0.068014	0.400343
564.0	0.209952	0.063089	0.393006
565.0	0.227649	0.056770	0.390690
566.0	0.253443	0.048287	0.396780
567.0	0.278480	0.044298	0.397916
568.0	0.301594	0.042662	0.397811
569.0	0.317916	0.046735	0.400465
570.0	0.341903	0.041796	0.400015
571.0	0.373236	0.027901	0.396520
572.0	0.401875	0.036965	0.407522
573.0	0.427759	0.044051	0.416342
574.0	0.449905	0.037437	0.414480
575.0	0.480159	0.038627	0.417365
576.0	0.513677	0.043987	0.422816
577.0	0.543794	0.040588	0.428247
578.0	0.571205	0.037371	0.433065
579.0	0.595218	0.034398	0.436986
580.0	0.626430	0.034640	0.443117
581.0	0.658157	0.036833	0.450056
582.0	0.686070	0.044586	0.458274
583.0	0.712324	0.044824	0.463850
584.0	0.737682	0.038648	0.467287
585.0	0.764092	0.038162	0.479690
586.0	0.788957	0.038445	0.488137
587.0	0.812508	0.039278	0.486244
588.0	0.833897	0.033747	0.490771
589.0	0.853929	0.025945	0.497911
590.0	0.878276	0.028325	0.501174
591.0	0.901021	0.032699	0.506607
592.0	0.921337	0.039511	0.514624
593.0	0.937018	0.040282	0.519994
594.0	0.951248	0.037403	0.524836
595.0	0.963762	0.025417	0.529763
596.0	0.980527	0.028249	0.536541
597.0	1.000063	0.041257	0.544596
598.0	1.015490	0.032740	0.543006
599.0	1.027744	0.029743	0.544877
600.0	1.034472	0.037711	0.553290
601.0	1.050084	0.036150	0.556493
602.0	1.067982	0.032155	0.558565
603.0	1.079629	0.034410	0.564833
604.0	1.087775	0.036956	0.567138
605.0	1.092765	0.039781	0.565716
606.0	1.106193	0.037985	0.568345
607.0	1.118603	0.036729	0.570865
608.0	1.125449	0.038292	0.571756
609.0	1.132315	0.034970	0.573149
610.0	1.139338	0.029220	0.574617
611.0	1.147578	0.024502	0.572739
612.0	1.155569	0.024805	0.575319
613.0	1.163302	0.031510	0.583562
614.0	1.172995	0.028442	0.582999
615.0	1.180097	0.025358	0.581173
616.0	1.175726	0.029982	0.581604
617.0	1.177327	0.033178	0.584636
618.0	1.182969	0.035485	0.589474
619.0	1.187910	0.037771	0.592775
620.0	1.189244	0.038025	0.593361
621.0	1.184600	0.034889	0.589448
622.0	1.185459	0.030922	0.587701
623.0	1.187568	0.028411	0.587272
624.0	1.187202	0.035420	0.590485
625.0	1.185440	0.036854	0.593200
626.0	1.182450	0.033612	0.595524
627.0	1.187635	0.029198	0.600710
628.0	1.187232	0.025371	0.603008
629.0	1.173920	0.023061	0.598825
630.0	1.166655	0.032011	0.603311
631.0	1.162787	0.043474	0.609957
632.0	1.167103	0.039201	0.606453
633.0	1.163204	0.034421	0.603520
634.0	1.150928	0.029239	0.601286
635.0	1.148118	0.039252	0.610826
636.0	1.145569	0.046687	0.616048
637.0	1.140778	0.042428	0.606124
638.0	1.131800	0.045448	0.606487
639.0	1.121521	0.050810	0.611401
640.0	1.121755	0.039318	0.609525
641.0	1.117981	0.031572	0.607034
642.0	1.109409	0.028536	0.603836
643.0	1.105923	0.036324	0.607723
644.0	1.103024	0.042426	0.613182
645.0	1.099272	0.037505	0.619682
646.0	1.089885	0.042448	0.619578
647.0	1.077919	0.052531	0.615930
648.0	1.078879	0.049926	0.617468
649.0	1.077190	0.050903	0.619317
650.0	1.071794	0.056885	0.621551
651.0	1.074536	0.048180	0.625216
652.0	1.076029	0.039363	0.628992
653.0	1.065214	0.044221	0.631373
654.0	1.060308	0.047395	0.630287
655.0	1.059242	0.049490	0.626834
656.0	1.056625	0.047546	0.626384
657.0	1.056092	0.046850	0.626703
658.0	1.058962	0.048206	0.628253
659.0	1.051514	0.043787	0.624464
660.0	1.043663	0.037927	0.620497
661.0	1.047877	0.033035	0.622789
662.0	1.049929	0.040464	0.626144
663.0	1.050318	0.057146	0.630277
664.0	1.052916	0.049388	0.627917
665.0	1.054192	0.044241	0.626945
666.0	1.052933	0.045300	0.628853
667.0	1.051292	0.052956	0.632888
668.0	1.049668	0.060023	0.636008
669.0	1.048921	0.052094	0.630265
670.0	1.052769	0.052437	0.635295
671.0	1.060582	0.059777	0.649464
672.0	1.054268	0.041166	0.636311
673.0	1.052242	0.029840	0.626593
674.0	1.059769	0.035305	0.626228
675.0	1.063523	0.036711	0.628014
676.0	1.065298	0.036498	0.630468
677.0	1.062796	0.034952	0.632202
678.0	1.060757	0.038614	0.632281
679.0	1.059135	0.046704	0.630953
680.0	1.063680	0.050090	0.637258
681.0	1.065680	0.049723	0.641276
682.0	1.061823	0.042446	0.639781
683.0	1.064620	0.053736	0.640615
684.0	1.068899	0.069369	0.642002
685.0	1.068433	0.072750	0.641771
686.0	1.067666	0.061631	0.638359
687.0	1.066614	0.037658	0.632137
688.0	1.057188	0.043341	0.636620
689.0	1.052033	0.045379	0.637100
690.0	1.055994	0.037262	0.628770
691.0	1.047486	0.042460	0.627882
692.0	1.037323	0.048732	0.629448
693.0	1.041176	0.036134	0.630530
694.0	1.039258	0.030892	0.633779
695.0	1.032699	0.031708	0.638687
696.0	1.034017	0.036999	0.635788
697.0	1.032479	0.040935	0.633338
698.0	1.025192	0.042062	0.632371
699.0	1.018276	0.040641	0.637005
700.0	1.011950	0.038837	0.641867
701.0	1.007795	0.039419	0.638390
702.0	1.000004	0.037613	0.636645
703.0	0.989514	0.033909	0.636365
704.0	0.978194	0.031541	0.637226
705.0	0.968298	0.030749	0.636507
706.0	0.961166	0.032786	0.632605
707.0	0.952840	0.038700	0.641010
708.0	0.944171	0.043581	0.649790
709.0	0.935178	0.035124	0.636627
710.0	0.926122	0.034823	0.634424
711.0	0.917199	0.040422	0.640233
712.0	0.911710	0.039819	0.645594
713.0	0.904371	0.033805	0.646162
714.0	0.894335	0.020457	0.640282
715.0	0.887285	0.034798	0.637719
716.0	0.881161	0.047604	0.638965
717.0	0.875347	0.043217	0.648773
718.0	0.867346	0.042827	0.649806
719.0	0.858526	0.044306	0.647013
720.0	0.850114	0.046597	0.644584
721.0	0.846583	0.045747	0.645855
722.0	0.847116	0.042278	0.650211
723.0	0.841549	0.044085	0.644371
724.0	0.836038	0.045348	0.642554
725.0	0.830816	0.045451	0.647510
726.0	0.825875	0.051761	0.650093
