Sample Name,Original XYZ (X),Original XYZ (Y),Original XYZ (Z),New XYZ (X),New XYZ (Y),New XYZ (Z),XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),Original xy (x),Original xy (y),New xy (x),New xy (y),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),Original sRGB (R),Original sRGB (G),Original sRGB (B),New sRGB (R),New sRGB (G),New sRGB (B),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Original Lab (L*),Original Lab (a*),Original Lab (b*),New Lab (L*),New Lab (a*),New Lab (b*),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
r4s5,35.821776,33.498545,24.288892,35.810325,33.497737,24.241605,0.011450,0.000808,0.047288,0.031965,0.002413,0.194689,0.382674,0.357855,0.382795,0.358074,0.000121,0.000219,0.031667,0.061238,0.751458,0.576108,0.493802,0.751380,0.576176,0.493248,0.000079,0.000069,0.000554,0.010469,0.011930,0.112223,64.562569,13.913031,17.605150,64.561921,13.877337,17.682800,0.000648,0.035693,0.077651,0.085464,#BF927D,#BF927D
r4s6,11.269774,10.319252,7.102132,11.265469,10.319004,7.083554,0.004305,0.000248,0.018578,0.038202,0.002400,0.261583,0.392796,0.359667,0.392963,0.359948,0.000167,0.000282,0.042453,0.078284,0.450646,0.326994,0.272369,0.450593,0.327047,0.271920,0.000053,0.000054,0.000449,0.011768,0.016363,0.164832,38.409415,11.114689,13.301240,38.408980,11.085282,13.370750,0.000435,0.029407,0.069509,0.075475,#725345,#725345
HB1 / WF1,55.346534,55.616842,41.350648,55.333510,55.615823,41.298278,0.013025,0.001019,0.052370,0.023533,0.001833,0.126647,0.363371,0.365146,0.363444,0.365298,0.000073,0.000153,0.020079,0.041789,0.871634,0.751056,0.629802,0.871558,0.751111,0.629352,0.000077,0.000055,0.000450,0.008787,0.007280,0.071449,79.395253,6.343235,19.640502,79.394670,6.312992,19.700666,0.000583,0.030243,0.060164,0.067340,#DEBFA0,#DEBFA0
HB2 / WF2,53.287094,53.115052,36.081182,53.277330,53.114131,36.044150,0.009765,0.000921,0.037032,0.018324,0.001734,0.102635,0.373988,0.372781,0.374045,0.372899,0.000057,0.000118,0.015171,0.031767,0.870575,0.732059,0.586225,0.870513,0.732100,0.585876,0.000062,0.000041,0.000349,0.007134,0.005607,0.059493,77.942878,7.359130,23.570225,77.942335,7.336286,23.616654,0.000543,0.022844,0.046429,0.051747,#DDBA95,#DDBA95
HB3 / WF3,39.935327,37.964069,22.993893,39.925925,37.963191,22.958122,0.009402,0.000879,0.035770,0.023542,0.002314,0.155565,0.395817,0.376279,0.395905,0.376443,0.000088,0.000163,0.022111,0.043348,0.795313,0.613673,0.470614,0.795246,0.613722,0.470169,0.000067,0.000050,0.000445,0.008434,0.008106,0.094578,67.994125,12.448707,25.716805,67.993477,12.422110,25.777479,0.000648,0.026597,0.060675,0.066251,#CA9C78,#CA9C77
HB4 / WF4,41.750261,39.750353,22.348820,41.742191,39.749490,22.319660,0.008069,0.000863,0.029160,0.019327,0.002170,0.130476,0.402027,0.382769,0.402097,0.382901,0.000070,0.000132,0.017359,0.034522,0.815530,0.626529,0.459428,0.815471,0.626569,0.459054,0.000059,0.000040,0.000374,0.007255,0.006455,0.081366,69.291349,12.446548,29.077733,69.290732,12.424719,29.128003,0.000617,0.021829,0.050269,0.054808,#CF9F75,#CF9F75
HB4 / WF4.1,31.075137,30.519905,17.198141,31.068563,30.519206,17.174330,0.006574,0.000699,0.023811,0.021155,0.002290,0.138452,0.394389,0.387342,0.394461,0.387486,0.000072,0.000144,0.018302,0.037175,0.702893,0.564380,0.405608,0.702834,0.564418,0.405252,0.000058,0.000038,0.000356,0.008305,0.006682,0.087853,62.100242,7.812635,26.544444,62.099646,7.790913,26.593333,0.000596,0.021722,0.048889,0.053501,#B38F67,#B38F67
HB5 / WF5,35.643567,34.853910,19.282860,35.637510,34.853211,19.261704,0.006058,0.000699,0.021155,0.016995,0.002006,0.109710,0.397009,0.388213,0.397065,0.388326,0.000056,0.000113,0.014099,0.029092,0.750401,0.598193,0.426984,0.750350,0.598224,0.426687,0.000051,0.000032,0.000297,0.006845,0.005290,0.069564,65.634767,8.691575,28.435627,65.634221,8.673501,28.475774,0.000546,0.018074,0.040147,0.044031,#BF986C,#BF986C
HB6 / WF6,29.215744,26.558102,15.077522,29.209350,26.557382,15.054936,0.006394,0.000720,0.022585,0.021887,0.002712,0.149796,0.412353,0.374842,0.412435,0.374990,0.000083,0.000147,0.020040,0.039224,0.710673,0.507833,0.383301,0.710615,0.507874,0.382939,0.000058,0.000041,0.000362,0.008094,0.008151,0.094519,58.563051,16.047246,25.085671,58.562377,16.025531,25.136200,0.000674,0.021715,0.050529,0.055002,#B58161,#B58161
HB7 / WF7,34.359322,32.218385,16.809428,34.353646,32.217657,16.790652,0.005675,0.000728,0.018776,0.016517,0.002261,0.111698,0.412046,0.386371,0.412102,0.386479,0.000056,0.000108,0.013683,0.027943,0.757559,0.564267,0.397450,0.757509,0.564299,0.397162,0.000050,0.000031,0.000288,0.006615,0.005507,0.072448,63.522968,13.410661,29.818145,63.522369,13.393634,29.857074,0.000599,0.017028,0.038929,0.042494,#C18F65,#C18F65
HB8 / WF8,13.510955,13.102133,9.287112,13.506128,13.101735,9.268000,0.004827,0.000398,0.019112,0.035726,0.003041,0.205788,0.376348,0.364960,0.376468,0.365196,0.000121,0.000236,0.032087,0.064794,0.473265,0.379142,0.311305,0.473201,0.379190,0.310911,0.000064,0.000048,0.000394,0.013457,0.012603,0.126691,42.916734,6.995709,13.542570,42.916136,6.967204,13.601972,0.000597,0.028505,0.059402,0.065890,#78604F,#78604F
HB9 / WF9,14.223796,13.451068,8.021167,14.220144,13.450687,8.007840,0.003651,0.000381,0.013327,0.025670,0.002832,0.166150,0.398470,0.376823,0.398561,0.376995,0.000092,0.000173,0.022972,0.045821,0.500142,0.377788,0.283355,0.500093,0.377823,0.283048,0.000050,0.000035,0.000307,0.009938,0.009196,0.108415,43.435180,9.271809,18.633569,43.434619,9.251511,18.679061,0.000561,0.020298,0.045492,0.049818,#7F6048,#7F6048
S1,38.308572,38.328605,20.052654,38.299575,38.327936,20.015994,0.008997,0.000670,0.036660,0.023486,0.001748,0.182818,0.396201,0.396408,0.396297,0.396591,0.000097,0.000183,0.024438,0.046187,0.768781,0.631146,0.430302,0.768719,0.631194,0.429792,0.000061,0.000048,0.000510,0.007962,0.007555,0.118592,68.262110,6.138000,31.490419,68.261619,6.111199,31.558957,0.000491,0.026801,0.068538,0.073594,#C4A06D,#C4A06D
S2,13.099819,11.480107,7.363558,13.095274,11.479791,7.344726,0.004544,0.000316,0.018832,0.034690,0.002754,0.255741,0.410094,0.359388,0.410256,0.359645,0.000162,0.000257,0.039508,0.071468,0.497055,0.334460,0.275548,0.497003,0.334514,0.275099,0.000053,0.000054,0.000449,0.010624,0.016062,0.162908,40.377606,15.266050,15.718731,40.377089,15.238412,15.787361,0.000517,0.027638,0.068630,0.073988,#7E5546,#7E5546
S3,49.013478,51.943998,49.141424,48.989142,51.942926,49.031755,0.024336,0.001072,0.109669,0.049652,0.002065,0.223169,0.326541,0.346065,0.326673,0.346370,0.000132,0.000305,0.040377,0.088007,0.764145,0.748294,0.694900,0.764004,0.748403,0.694069,0.000141,0.000110,0.000830,0.018476,0.014639,0.119509,77.247339,-0.973117,7.359316,77.246697,-1.036723,7.472417,0.000642,0.063606,0.113101,0.129761,#C2BEB1,#C2BEB0
S4,47.188484,50.088824,50.464562,47.161434,50.087701,50.341683,0.027050,0.001123,0.122879,0.057323,0.002242,0.243495,0.319398,0.339029,0.319542,0.339369,0.000144,0.000339,0.044963,0.100101,0.740346,0.737526,0.706647,0.740185,0.737651,0.705737,0.000161,0.000125,0.000911,0.021753,0.016903,0.128856,76.123749,-1.169591,4.057389,76.123060,-1.242289,4.181929,0.000688,0.072698,0.124540,0.144207,#BCBCB4,#BCBCB3
S5,43.488494,46.214954,45.459029,43.464631,46.213944,45.350900,0.023863,0.001010,0.108128,0.054872,0.002185,0.237859,0.321750,0.341921,0.321890,0.342251,0.000140,0.000329,0.043572,0.096311,0.716750,0.711407,0.672963,0.716601,0.711523,0.672109,0.000149,0.000115,0.000854,0.020777,0.016178,0.126844,73.684797,-1.287502,5.148870,73.684144,-1.355171,5.266355,0.000653,0.067669,0.117485,0.135581,#B6B5AB,#B6B5AB
WC1 / WF1,74.263402,76.661855,54.607080,74.244600,76.660680,54.527257,0.018802,0.001175,0.079823,0.025318,0.001532,0.146177,0.361322,0.372992,0.361406,0.373167,0.000084,0.000175,0.023250,0.047047,0.980342,0.876206,0.709869,0.980255,0.876273,0.709281,0.000087,0.000066,0.000588,0.008897,0.007588,0.082788,90.165749,2.909348,24.143521,90.165207,2.872817,24.220050,0.000542,0.036531,0.076528,0.084802,#F9DFB5,#F9DFB4
WC2 / WF2,80.201318,84.199037,79.375961,80.180573,84.197805,79.286975,0.020744,0.001232,0.088986,0.025865,0.001463,0.112107,0.328996,0.345395,0.329060,0.345547,0.000065,0.000152,0.019661,0.044075,0.958848,0.923772,0.860720,0.958751,0.923841,0.860211,0.000097,0.000069,0.000509,0.010162,0.007450,0.059154,93.536879,0.339300,8.856496,93.536345,0.300862,8.922865,0.000534,0.038438,0.066369,0.076698,#F4EBDB,#F4EBDB
WC3 / WF3,78.315885,82.248242,80.319767,78.295094,82.247012,80.230527,0.020790,0.001230,0.089240,0.026547,0.001496,0.111106,0.325119,0.341444,0.325183,0.341596,0.000064,0.000153,0.019651,0.044713,0.942006,0.914961,0.867601,0.941906,0.915031,0.867096,0.000100,0.000070,0.000505,0.010601,0.007637,0.058239,92.684313,0.282276,6.675943,92.683771,0.243129,6.741961,0.000542,0.039147,0.066017,0.076753,#F0E9DD,#F0E9DD
WC4 / WF4,62.498406,65.426917,65.147659,62.479142,65.425840,65.064074,0.019264,0.001077,0.083586,0.030823,0.001646,0.128302,0.323704,0.338871,0.323778,0.339048,0.000075,0.000177,0.023017,0.052210,0.851460,0.825960,0.791758,0.851357,0.826035,0.791224,0.000104,0.000075,0.000534,0.012193,0.009025,0.067408,84.703247,0.724913,5.096668,84.702695,0.682618,5.167822,0.000552,0.042295,0.071154,0.082777,#D9D2C9,#D9D2C9
WC5 / WF5,74.682380,77.015703,62.584125,74.662697,77.014508,62.500065,0.019683,0.001195,0.084061,0.026356,0.001551,0.134316,0.348523,0.359412,0.348602,0.359583,0.000079,0.000171,0.022627,0.047444,0.965925,0.879282,0.764878,0.965832,0.879351,0.764317,0.000092,0.000070,0.000562,0.009548,0.007906,0.073413,90.328842,3.070790,17.036139,90.328292,3.032622,17.109675,0.000550,0.038168,0.073536,0.082853,#F6E0C3,#F6E0C2
WC6 / WF6 ,78.643324,80.353121,73.916764,78.622685,80.351894,73.828260,0.020639,0.001227,0.088504,0.026244,0.001527,0.119735,0.337651,0.344992,0.337722,0.345150,0.000071,0.000158,0.021153,0.045881,0.975323,0.894190,0.832947,0.975228,0.894261,0.832418,0.000095,0.000071,0.000529,0.009723,0.007992,0.063476,91.843069,4.560700,10.161119,91.842520,4.522000,10.230355,0.000549,0.038700,0.069236,0.079320,#F8E4D4,#F8E4D4
WC7 / WF7,75.109830,76.887669,70.049174,75.089941,76.886467,69.964156,0.019890,0.001202,0.085017,0.026481,0.001563,0.121368,0.338261,0.346268,0.338334,0.346428,0.000072,0.000160,0.021316,0.046246,0.956007,0.877484,0.812600,0.955913,0.877555,0.812076,0.000094,0.000070,0.000525,0.009868,0.008031,0.064563,90.269887,4.203488,10.569547,90.269334,4.165068,10.638470,0.000554,0.038420,0.068923,0.078910,#F3DFCF,#F3DFCF
WC8 / WF8,72.570202,73.588618,63.104499,72.551021,73.587441,63.022752,0.019181,0.001176,0.081747,0.026431,0.001598,0.129542,0.346789,0.351656,0.346867,0.351822,0.000078,0.000166,0.022372,0.047217,0.957424,0.856160,0.771916,0.957333,0.856230,0.771376,0.000091,0.000070,0.000540,0.009529,0.008186,0.069899,88.727693,5.580981,13.815922,88.727135,5.543120,13.886995,0.000558,0.037861,0.071073,0.080530,#F4DAC4,#F4DAC4
WC9 / WF9,81.059027,84.335799,85.189998,81.038136,84.334565,85.100307,0.020890,0.001235,0.089692,0.025772,0.001464,0.105284,0.323479,0.336556,0.323540,0.336701,0.000061,0.000145,0.018859,0.043178,0.957315,0.922143,0.892965,0.957217,0.922213,0.892476,0.000098,0.000070,0.000489,0.010256,0.007537,0.054751,93.596153,1.762147,4.667017,93.595618,1.723716,4.730794,0.000535,0.038431,0.063777,0.074463,#F4EBE3,#F4EBE3
WC10 / WF10,75.163277,76.257619,69.934270,75.142263,76.256373,69.844103,0.021014,0.001246,0.090167,0.027958,0.001634,0.128932,0.339560,0.344503,0.339637,0.344673,0.000078,0.000169,0.022844,0.049182,0.961580,0.870982,0.812658,0.961482,0.871057,0.812102,0.000098,0.000075,0.000556,0.010222,0.008652,0.068466,89.978818,5.567720,10.162158,89.978240,5.527114,10.235356,0.000577,0.040607,0.073198,0.083709,#F5DECF,#F5DECF
WC11 / WF11,66.498695,65.934032,60.865430,66.479648,65.932912,60.783567,0.019047,0.001120,0.081863,0.028643,0.001698,0.134498,0.344021,0.341100,0.344104,0.341275,0.000083,0.000174,0.024153,0.051112,0.925074,0.808156,0.764804,0.924980,0.808231,0.764258,0.000094,0.000075,0.000547,0.010108,0.009334,0.071511,84.962757,8.691612,9.320642,84.962185,8.651692,9.393553,0.000572,0.039920,0.072911,0.083126,#EBCEC3,#EBCEC2
WC12 / WF12,78.476713,80.173085,79.136312,78.450362,80.171709,79.020602,0.026351,0.001376,0.115710,0.033578,0.001717,0.146216,0.330031,0.337165,0.330119,0.337362,0.000088,0.000198,0.026760,0.058641,0.962184,0.894396,0.863245,0.962066,0.894488,0.862585,0.000118,0.000092,0.000660,0.012302,0.010338,0.076415,91.762466,4.576407,5.978496,91.761849,4.526558,6.065117,0.000617,0.049849,0.086621,0.099943,#F5E4DC,#F5E4DB
L1,77.299243,81.928146,85.601474,77.283229,81.927107,85.534041,0.016014,0.001039,0.067433,0.020717,0.001269,0.078775,0.315728,0.334634,0.315771,0.334746,0.000044,0.000111,0.013796,0.033251,0.915657,0.917940,0.896615,0.915574,0.917993,0.896249,0.000082,0.000053,0.000366,0.008996,0.005775,0.040769,92.543136,-1.146367,2.555231,92.542677,-1.176620,2.602922,0.000459,0.030253,0.047691,0.056479,#E9EAE4,#E9EAE4
