Sample Name,XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
S4,0.027050,0.001123,0.122879,0.057323,0.002242,0.243495,0.000144,0.000339,0.044963,0.100101,0.000161,0.000125,0.000911,0.021753,0.016903,0.128856,0.000688,0.072698,0.124540,0.144207,#BCBCB4,#BCBCB3
S5,0.023863,0.001010,0.108128,0.054872,0.002185,0.237859,0.000140,0.000329,0.043572,0.096311,0.000149,0.000115,0.000854,0.020777,0.016178,0.126844,0.000653,0.067669,0.117485,0.135581,#B6B5AB,#B6B5AB
WC1 / WF1,0.018802,0.001175,0.079823,0.025318,0.001532,0.146177,0.000084,0.000175,0.023250,0.047047,0.000087,0.000066,0.000588,0.008897,0.007588,0.082788,0.000542,0.036531,0.076528,0.084802,#F9DFB5,#F9DFB4
WC2 / WF2,0.020744,0.001232,0.088986,0.025865,0.001463,0.112107,0.000065,0.000152,0.019661,0.044075,0.000097,0.000069,0.000509,0.010162,0.007450,0.059154,0.000534,0.038438,0.066369,0.076698,#F4EBDB,#F4EBDB
WC3 / WF3,0.020790,0.001230,0.089240,0.026547,0.001496,0.111106,0.000064,0.000153,0.019651,0.044713,0.000100,0.000070,0.000505,0.010601,0.007637,0.058239,0.000542,0.039147,0.066017,0.076753,#F0E9DD,#F0E9DD
WC4 / WF4,0.019264,0.001077,0.083586,0.030823,0.001646,0.128302,0.000075,0.000177,0.023017,0.052210,0.000104,0.000075,0.000534,0.012193,0.009025,0.067408,0.000552,0.042295,0.071154,0.082777,#D9D2C9,#D9D2C9
WC5 / WF5,0.019683,0.001195,0.084061,0.026356,0.001551,0.134316,0.000079,0.000171,0.022627,0.047444,0.000092,0.000070,0.000562,0.009548,0.007906,0.073413,0.000550,0.038168,0.073536,0.082853,#F6E0C3,#F6E0C2
WC6 / WF6 ,0.020639,0.001227,0.088504,0.026244,0.001527,0.119735,0.000071,0.000158,0.021153,0.045881,0.000095,0.000071,0.000529,0.009723,0.007992,0.063476,0.000549,0.038700,0.069236,0.079320,#F8E4D4,#F8E4D4
WC7 / WF7,0.019890,0.001202,0.085017,0.026481,0.001563,0.121368,0.000072,0.000160,0.021316,0.046246,0.000094,0.000070,0.000525,0.009868,0.008031,0.064563,0.000554,0.038420,0.068923,0.078910,#F3DFCF,#F3DFCF
WC8 / WF8,0.019181,0.001176,0.081747,0.026431,0.001598,0.129542,0.000078,0.000166,0.022372,0.047217,0.000091,0.000070,0.000540,0.009529,0.008186,0.069899,0.000558,0.037861,0.071073,0.080530,#F4DAC4,#F4DAC4
WC9 / WF9,0.020890,0.001235,0.089692,0.025772,0.001464,0.105284,0.000061,0.000145,0.018859,0.043178,0.000098,0.000070,0.000489,0.010256,0.007537,0.054751,0.000535,0.038431,0.063777,0.074463,#F4EBE3,#F4EBE3
WC10 / WF10,0.021014,0.001246,0.090167,0.027958,0.001634,0.128932,0.000078,0.000169,0.022844,0.049182,0.000098,0.000075,0.000556,0.010222,0.008652,0.068466,0.000577,0.040607,0.073198,0.083709,#F5DECF,#F5DECF
WC11 / WF11,0.019047,0.001120,0.081863,0.028643,0.001698,0.134498,0.000083,0.000174,0.024153,0.051112,0.000094,0.000075,0.000547,0.010108,0.009334,0.071511,0.000572,0.039920,0.072911,0.083126,#EBCEC3,#EBCEC2
WC12 / WF12,0.026351,0.001376,0.115710,0.033578,0.001717,0.146216,0.000088,0.000198,0.026760,0.058641,0.000118,0.000092,0.000660,0.012302,0.010338,0.076415,0.000617,0.049849,0.086621,0.099943,#F5E4DC,#F5E4DB
L1,0.016014,0.001039,0.067433,0.020717,0.001269,0.078775,0.000044,0.000111,0.013796,0.033251,0.000082,0.000053,0.000366,0.008996,0.005775,0.040769,0.000459,0.030253,0.047691,0.056479,#E9EAE4,#E9EAE4
