wavelength,A,D65,D50
608.00000000,134.88705692,89.74009157,99.01984817
609.00000000,135.61664241,89.69100640,99.17043159
610.00000000,136.34600000,89.59910000,99.26900000
611.00000000,137.07511390,89.45318857,99.30095702
612.00000000,137.80393202,89.26622536,99.28211766
613.00000000,138.53239319,89.05719786,99.23589980
614.00000000,139.26043624,88.84509358,99.18572129
615.00000000,139.98800000,88.64890000,99.15500000
616.00000000,140.71503539,88.48062499,99.15858677
617.00000000,141.44154170,88.32435784,99.17706439
618.00000000,142.16753031,88.15720819,99.18244862
619.00000000,142.89301262,87.95628569,99.14675524
620.00000000,143.61800000,87.69870000,99.04200000
621.00000000,144.34249655,87.36743227,98.84723189
622.00000000,145.06647720,86.96894970,98.56963277
623.00000000,145.78990957,86.51559099,98.22341770
624.00000000,146.51276129,86.01969486,97.82280175
625.00000000,147.23500000,85.49360000,97.38200000
626.00000000,147.95659440,84.95321793,96.92042166
627.00000000,148.67751752,84.42875137,96.47825253
628.00000000,149.39774343,83.95397585,96.10087258
629.00000000,150.11724622,83.56266688,95.83366175
630.00000000,150.83600000,83.28860000,95.72200000
631.00000000,151.55398183,83.15462961,95.79690547
632.00000000,152.27118074,83.13992561,96.03194910
633.00000000,152.98758873,83.21273682,96.38633998
634.00000000,153.70319782,83.34131202,96.81928724
635.00000000,154.41800000,83.49390000,97.29000000
636.00000000,155.13198227,83.64029725,97.75828444
637.00000000,155.84511153,83.75649098,98.18633508
638.00000000,156.55734965,83.82001608,98.53694350
639.00000000,157.26865852,83.80840745,98.77290128
640.00000000,157.97900000,83.69920000,98.85700000
641.00000000,158.68834508,83.47760940,98.76454875
642.00000000,159.39670114,83.15957449,98.52092657
643.00000000,160.10408466,82.76871487,98.16403002
644.00000000,160.81051212,82.32865017,97.73175565
645.00000000,161.51600000,81.86300000,97.26200000
646.00000000,162.22054940,81.39577715,96.79257657
647.00000000,162.92409989,80.95256708,96.36096663
648.00000000,163.62657569,80.55934844,96.00456841
649.00000000,164.32790099,80.24209987,95.76078012
650.00000000,165.02800000,80.02680000,95.66700000
651.00000000,165.72681733,79.92928281,95.74600098
652.00000000,166.42437928,79.92480358,95.96205491
653.00000000,167.12073257,79.97847296,96.26480834
654.00000000,167.81592390,80.05540156,96.60390785
655.00000000,168.51000000,80.12070000,96.92900000
656.00000000,169.20298928,80.14878282,97.20259551
657.00000000,169.89484697,80.15128018,97.43866174
658.00000000,170.58551003,80.14912612,97.66403022
659.00000000,171.27491539,80.16325471,97.90553246
660.00000000,171.96300000,80.21460000,98.19000000
661.00000000,172.64971357,80.31996750,98.53947298
662.00000000,173.33505684,80.47964850,98.95682613
663.00000000,174.01904333,80.68980575,99.44014278
664.00000000,174.70168654,80.94660200,99.98750629
665.00000000,175.38300000,81.24620000,100.59700000
666.00000000,176.06298846,81.57696959,101.25465655
667.00000000,176.74162167,81.89610904,101.89830574
668.00000000,177.41886066,82.15302368,102.45372666
669.00000000,178.09466644,82.29711889,102.84669838
670.00000000,178.76900000,82.27780000,103.00300000
